mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,£kA11,£kB11,£kA10,£kB10,£kA01,£kB01,£kA00,£kB00,S,I,D,Un,Uphi,Un-Uphi
0.4,6.0636224125e-08,0.66670659732,0.44178478731,9.5132252481e-08,0.68026022154,0.63979645788,0.48933125134,0.45101374265,0.51439346219,0.50034844803,4.6556125347e-07,8.0758464887e-07,0.99999939997,0.99999782384,0.96752233465,8.4800044521e-28,0.00044819178187,2.240130052750163,1.373483075244514,0.8666469775056491
0.41000000000000003,6.250565795e-08,0.69495687362,0.44180247519,9.8654420235e-08,0.73226765627,0.61019164973,0.48938995363,0.45105331487,0.51423646932,0.56132203211,4.4795825007e-07,1.0035064652e-06,0.99999925105,0.99999761953,0.96869129927,8.2322797796e-28,0.00043206007013,2.2661337650848417,1.4136119106978833,0.8525218543869584
0.42000000000000004,6.4513813306e-08,0.72418129689,0.44179165136,1.0240605813e-07,0.78427511299,0.5666822449,0.48944482356,0.45110178698,0.51406949867,0.6193921499,4.3360309587e-07,1.2969714163e-06,0.99999902699,0.99999743125,0.96980172456,7.9789864427e-28,0.00041673620109,2.2921374879778953,1.4542278287415633,0.837909659236332
0.43000000000000005,6.6669144077e-08,0.75443113801,0.44174913952,1.0639804765e-07,0.83628259005,0.50330785712,0.48949623821,0.45116216938,0.51389185161,0.67476136612,4.219518706e-07,1.7811911348e-06,0.99999865578,0.99999726687,0.97085629096,7.7218282401e-28,0.00040218318482,2.3181412205587497,1.495356463777461,0.8227847567812887
0.44000000000000006,6.8981510442e-08,0.78576133001,0.44167403263,1.1064205111e-07,0.8882900858,0.41013351907,0.48954468794,0.45123797546,0.5137034019,0.72761383055,4.1259823793e-07,2.7228446646e-06,0.99999793123,0.99999713216,0.9718575711,7.4623949363e-28,0.00038836551885,2.3441449619516774,1.537025281266744,0.8071196806849334
0.45000000000000007,7.1461928463e-08,0.81823080107,0.44156352905,1.1515053371e-07,0.94029759861,0.26927391202,0.48959068895,0.45133306674,0.51350377906,0.77811732409,4.0523733055e-07,5.3161311087e-06,0.99999592842,0.99999702996,0.9728080321,7.2021580744e-28,0.00037524915707,2.370148711280782,1.5792637442024244,0.7908849670783578
0.45999999999999996,7.4122949014e-08,0.85190284441,0.44141490325,1.1993679246e-07,0.99230512685,0.044951709489,0.48963485403,0.45145176491,0.51329262967,0.82642503804,3.9964141302e-07,4.2544163761e-05,0.99996671717,0.99999696004,0.97371003787,6.9424689633e-28,0.00036280147746,2.3961524676709534,1.6221034980854345,0.7740489695855188
0.47,8.6517702999e-08,0.88684554999,0.47908278274,1.7034828675e-07,0.99999982797,0.00094185114737,0.49961853182,0.45985372503,0.53579361706,0.82174528506,0.05093105922,0.005043399704,0.65009484477,0.99999590742,0.97447717542,6.7566439498e-28,0.00035221497915,2.410186087859974,1.6536086832001187,0.7565774046598552
0.48,9.003522343e-08,0.92313218497,0.48019747183,1.7939417215e-07,0.99999982491,0.0014430672928,0.49961017936,0.45875539374,0.53626256362,0.80755211397,0.10944863219,0.0051710077693,0.64895085713,0.99999352145,0.97519076792,6.5860392049e-28,0.0003423674027,2.4218895971987875,1.6834555025437306,0.7384340946550569
0.49,9.3906524525e-08,0.96084182408,0.48144640944,1.8942678194e-07,0.99999982204,0.002948158682,0.49960129652,0.45750124714,0.53682534142,0.79286484907,0.16665118867,0.0052983455692,0.64769385836,0.99998628989,0.97586811081,6.4188242891e-28,0.0003330200708,2.4333301033157664,1.71375082045981,0.7195792828559564
0.5,5.7985348812e-05,0.99999989076,0.085623116107,0.00017347989085,0.99999990641,0.55459808674,0.4575649119,0.003254315197,0.99683523854,0.77782254156,0.22246879881,0.4884498099,0.5807221898,0.5105340484,0.97650977108,6.2558016759e-28,0.00032416515911,2.444503035316379,1.7445027777669302,0.7000002575494486
0.51,0.039273800988,0.99999988611,0.00012659187072,0.040996922968,0.99999990038,0.55458356905,0.4578462182,1.4670326439e-05,0.99999563145,0.78466186608,0.24766848778,0.48869165788,0.58090547348,0.51042765229,0.97684736184,6.1516912054e-28,0.00031950640657,2.455443335677051,1.7554430673304815,0.7000002683465694
0.52,0.076981236252,0.9999998815,6.4662252699e-05,0.083521342012,0.99999989399,0.55445146831,0.45814037357,7.6470288628e-06,0.99999772848,0.79135279084,0.27490938569,0.48895036664,0.58106359515,0.51030094376,0.97717561887,6.0500745664e-28,0.00031497645953,2.466145802222732,1.7661455226069178,0.700000279615814
0.53,0.11326574878,0.99999987666,4.401037855e-05,0.12785530798,0.99999988722,0.55431863908,0.45842888619,5.3051970668e-06,0.99999842624,0.797900164,0.30428908192,0.48920074696,0.58119109231,0.51017783169,0.97749495052,5.9508808996e-28,0.00031056968283,2.4766181068605757,1.7766178154377519,0.7000002914228238
0.54,0.14820638989,0.99999987157,3.3690694626e-05,0.17411683461,0.99999988006,0.55418605013,0.45871065461,4.1376015088e-06,0.99999877382,0.80430864718,0.33591514375,0.48944218675,0.58129310034,0.51005774887,0.97780573828,5.8540402652e-28,0.00030628081175,2.486867595565066,1.786867291682057,0.7000003038830089
0.55,0.18187646168,0.99999986622,2.7505434441e-05,0.22243442607,0.99999987247,0.55405524047,0.45898625867,3.4403522629e-06,0.99999898126,0.81058273277,0.36990607513,0.48967396927,0.5813738794,0.50994000044,0.97810833881,5.7594839637e-28,0.00030210492438,2.496901304809852,1.796900987887425,0.7000003169224269
0.56,0.21434403038,0.99999986058,2.338908647e-05,0.27294826831,0.99999986442,0.55392218785,0.45925266558,2.9784764559e-06,0.99999911861,0.81672676552,0.40639248823,0.48989775214,0.58143298181,0.50982559765,0.97840308576,5.6671447839e-28,0.00029803741654,2.5067259780600835,1.8067256473846705,0.700000330675413
0.5700000000000001,0.24567238566,0.99999985464,2.0455880714e-05,0.32581158797,0.99999985587,0.55379081194,0.45951017281,2.6511852914e-06,0.99999921588,0.82274497022,0.44551843997,0.49011239646,0.58147442981,0.50971353253,0.9786902914,5.5769572025e-28,0.00029407397866,2.516348080631232,1.8163477354287678,0.7000003452024643
0.58,0.27592045235,0.99999984837,1.826234328e-05,0.38119220486,0.9999998468,0.55365732181,0.45976091253,2.4080545863e-06,0.99999928811,0.82864149168,0.48744296507,0.49031923672,0.58149844049,0.50960455769,0.97897024822,5.4888575382e-28,0.00029021057453,2.5257738138728634,1.825773453362375,0.7000003605104883
0.59,0.3051431604,0.99999984174,1.6562474984e-05,0.43927431129,0.99999983715,0.55352260532,0.46000001589,2.2210577938e-06,0.99999934363,0.83442045853,0.53234183879,0.49051817739,0.58150734665,0.5094984551,0.97924323032,5.4027840688e-28,0.00028644342163,2.5350091286051546,1.835008751938431,0.7000003766667235
0.6,0.33339177774,0.99999983473,1.5208639247e-05,0.50026051881,0.99999982688,0.55338507679,0.4602281964,2.0733720302e-06,0.99999938744,0.84008609647,0.58040960664,0.49070973378,0.58150339835,0.50939542446,0.9795094947,5.3186771162e-28,0.00028276897308,2.5440597376139547,1.8440593438929815,0.7000003937209731
0.61,0.3607142105,0.9999998273,1.4106844603e-05,0.56437421967,0.99999981595,0.5532460624,0.46044518834,1.9542874821e-06,0.99999942275,0.84564295256,0.6318619308,0.49089330563,0.58148847486,0.50929480343,0.97976928254,5.2364791031e-28,0.00027918390092,2.5529311274335176,1.8529307156616805,0.700000411771837
0.62,0.38715527406,0.99999981943,1.3194458566e-05,0.63186232105,0.9999998043,0.55310475814,0.46065049899,1.8566613086e-06,0.99999945167,0.85109639858,0.6869383107,0.49106997073,0.58146299325,0.50919723284,0.98002282024,5.156134587e-28,0.00027568508071,2.561628569410111,1.8616281385478708,0.7000004308622401
0.63,0.41275693839,0.99999981106,1.2428134677e-05,0.7029984228,0.99999979188,0.55296081824,0.46084380076,1.7755464394e-06,0.99999947568,0.85645394676,0.74590524836,0.49123969448,0.5814288113,0.50910251364,0.98027032049,5.0775902735e-28,0.00027226957723,2.5701571301884107,1.8701566790813793,0.7000004511070315
0.64,0.43755855034,0.99999980217,1.1776947116e-05,0.77808652475,0.9999997786,0.55281301284,0.46102457171,1.7074085729e-06,0.99999949583,0.86172951542,0.80905994468,0.49140271069,0.58138824276,0.50901065677,0.98051198323,5.0007950128e-28,0.00026893463138,2.5785216815170924,1.8785212089493817,0.7000004725677107
0.65,0.4615970354,0.9999997927,1.1218257038e-05,0.8574653695,0.9999997644,0.55266244556,0.46119375149,1.6496596459e-06,0.99999951289,0.86696306391,0.87673463261,0.49155926963,0.58134175145,0.50892169336,0.98074799653,4.9256997824e-28,0.00026567764794,2.586726909561639,1.8867264141961744,0.7000004953654646
0.66,0.48490708117,0.9999997826,1.073549578e-05,0.94151355135,0.99999974919,0.5525095033,0.4613585092,1.6004029203e-06,0.99999952744,0.87241791795,0.94930167814,0.49170994905,0.581290901,0.50883606073,0.98097853737,4.8522576578e-28,0.00026249618431,2.5947773236328366,1.8947768040147104,0.7000005196181263
0.67,0.50752127358,0.99999982561,0.029762080585,0.99999731169,0.99999968214,0.58461826,0.67889887589,0.01022194769,0.99999938889,0.81969652902,0.99996585097,0.50129577349,0.57926781511,0.52076025093,0.98119695042,4.7848247424e-28,0.00025948208416,2.6020472085805535,1.902043872016058,0.7000033365644955
0.6799999999999999,0.52947035955,0.99999981669,0.11143791166,0.99999716945,0.99999966593,0.58469682443,0.68231049674,0.040225182857,0.99999935682,0.81988494688,0.99996405607,0.50129699446,0.57920307693,0.5207478333,0.98139821571,4.7267047182e-28,0.00025670462314,2.6080479322709182,1.9080444742722913,0.700003457998627
0.69,0.55078323989,0.99999980712,0.18451694956,0.99999701542,0.99999964856,0.58476675177,0.69135974953,0.070228376964,0.99999932245,0.82010830441,0.9999621707,0.50129734482,0.57913671903,0.5207336985,0.98159623524,4.6690104369e-28,0.00025397195363,2.614048649570834,1.914045064310481,0.700003585260353
0.7,0.57148718057,0.99999979683,0.25028861762,0.9999968495,0.99999962992,0.58483150949,0.70097898478,0.10023151787,0.99999928552,0.82036468904,0.99996014602,0.50129749148,0.5790677652,0.52071881192,0.98179103404,4.6117586046e-28,0.00025128373031,2.620049361648823,1.9200456394065526,0.7000037222422706
0.71,0.5916079114,0.99999978576,0.30979675348,0.99999667012,0.99999960985,0.58489155843,0.71077396954,0.1302346026,0.99999924574,0.82062617942,0.99995796416,0.5012974903,0.57899628273,0.52070331279,0.98198263697,4.554965375e-28,0.00024863960976,2.626050068710455,1.9260461983925565,0.7000038703178983
0.72,0.61116973282,0.99999977382,0.36389541847,0.99999647589,0.9999995882,0.58494708529,0.72064591992,0.16023762839,0.99999920281,0.82090135806,0.99995560702,0.50129735632,0.57892240231,0.52068727217,0.9821710688,4.4986463497e-28,0.00024603925052,2.6320507709259866,1.93204674017922,0.7000040307467665
0.73,0.63019561368,0.99999976091,0.41329015101,0.99999626513,0.9999995648,0.58499858448,0.7305584017,0.19024059211,0.99999915637,0.82119139744,0.9999530543,0.50129710352,0.5788462681,0.5206708145,0.98235635413,4.442816579e-28,0.00024348231305,2.638051468446629,1.9380472634980652,0.7000042049485637
0.74,0.6487072813,0.99999974691,0.45856890695,0.99999603586,0.99999953945,0.58504601898,0.74049484297,0.22024349006,0.99999910601,0.82149686898,0.99995028274,0.50129673258,0.57876802784,0.5206539645,0.98253851741,4.3874905633e-28,0.00024096845979,2.6440521614241517,1.944047766853797,0.7000043945703547
0.75,0.66672530422,0.9999997317,0.5002255747,0.99999578574,0.99999951189,0.58508969234,0.75044662257,0.25024631787,0.99999905125,0.82181751902,0.99994726544,0.50129625027,0.57868783082,0.52063680964,0.98271758296,4.3326822543e-28,0.00023849735519,2.6500528500016944,1.9500482485046509,0.7000046014970436
0.76,0.6842691684,0.99999971511,0.53867806412,0.99999551205,0.99999948186,0.58512982047,0.76040881261,0.28024907031,0.99999899155,0.82215248303,0.99994397098,0.50129566116,0.57860582677,0.52061942078,0.98289357495,4.2784050574e-28,0.00023606866566,2.6560535343359346,1.9560487063582916,0.700004827977643
0.77,0.70135734756,0.99999969697,0.57428237575,0.99999521175,0.99999944903,0.58516662074,0.77037839223,0.31025174109,0.99999892624,0.82250807168,0.99994036253,0.50129496964,0.57852216534,0.52060186901,0.98306651742,4.2246718339e-28,0.00023368205966,2.6620542145710346,1.9620491380087388,0.7000050765622958
0.78,0.71800736803,0.99999967706,0.6073436557,0.99999488096,0.99999941302,0.58520030701,0.78035340636,0.34025432266,0.99999885457,0.82287932654,0.99993639656,0.50129417993,0.57843699584,0.52058422462,0.98323643423,4.1714949042e-28,0.00023133720766,2.6680548908666744,1.9680495404768366,0.7000053503898378
0.79,0.73423586875,0.99999965513,0.638124963,0.99999451525,0.99999937336,0.58523109546,0.79033253397,0.37025680587,0.99999877561,0.82326879728,0.9999320212,0.50129329627,0.57835046704,0.52056655823,0.98340334912,4.118886051e-28,0.00022903378221,2.674055563369216,1.974049910254781,0.7000056531144347
0.8,0.75005865672,0.99999963087,0.66685428385,0.99999410925,0.99999932951,0.58525920359,0.80031485029,0.40025917956,0.99999868827,0.82367705757,0.99992717424,0.50129232293,0.57826272702,0.52054894068,0.98356728566,4.0668565231e-28,0.00022677145789,2.6800562322382318,1.9800502430668592,0.7000059891713726
