,m0,m1,m2,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
36,0.45999999999999996,0.45999999999999996,0.5289999999999999,1,0,0.5883506812192316,-0.020161177863426527,0.8519166027157211,0.0,1.0,0.8638525436803521,0,0.0,0.973802287402447,0.007787369222528661,0.00040685530472668927,1.111845476853462,1.9,0.7881545231465379
37,0.47,0.47,0.5405,1,1,0.33877679245881476,0.003036988469296009,0.47003572558532614,0.0,1.0,1.0,1,0.022614152635525412,0.9706010262640281,0.009491522092024654,0.00046067232194626036,0.9371437547211703,1.9021258919285071,0.9649821372073368
38,0.48,0.48,0.5519999999999999,1,1,0.35206362958921633,0.009180425514814239,0.4800364857041629,0.0,1.0,1.0,1,0.0669355148176211,0.9711989242064614,0.009195639097453266,0.0004507580577345495,0.9464445407124513,1.9064262978603699,0.9599817571479186
39,0.49,0.49,0.5635,1,1,0.36535046030851115,0.015323856149225712,0.4900372458229996,0.0,1.0,1.0,1,0.10944779601847328,0.97177972216744,0.008909422325146618,0.00044113125210258657,0.9557453222159578,1.910726699304458,0.9549813770885003
40,0.5,0.5,0.575,1,1,0.37863728475244596,0.021467280508276954,0.5000380059418363,0.0,1.0,1.0,1,0.15025954204710903,0.9723438780629798,0.008632592272690413,0.00043178428294883764,0.9650460993267121,1.9150270963557938,0.9499809970290817
41,0.51,0.51,0.5864999999999999,1,1,0.3919241030567657,0.02761069872771338,0.5100387660606731,0.0,1.0,1.0,1,0.18947078531576048,0.9728918395356685,0.008364875773239237,0.0004227096873945654,0.9743468721397359,1.9193274891093994,0.9449806169696635
42,0.52,0.52,0.598,1,1,0.4052109153572143,0.033754110943278626,0.5200395261795099,0.0,1.0,1.0,1,0.2271738634357105,0.9734240440767036,0.008106005919815392,0.0004139001606897876,0.98364764075005,1.923627877660295,0.9399802369102451
43,0.53,0.53,0.6094999999999999,1,1,0.4184977217895347,0.039897517290715445,0.5300402862983465,0.0,1.0,1.0,1,0.2634541451419115,0.9739409191486899,0.007855721988900036,0.00040534855505800025,0.9929484052526742,1.9279282621035008,0.9349798568508265
44,0.54,0.54,0.621,1,1,0.4317845224894683,0.04604091790576592,0.5400410464171833,0.0,1.0,1.0,1,0.2983906755593116,0.974442882309146,0.007613769363363474,0.00039704787848220916,1.0022491657426278,1.932228642534036,0.9299794767914082
45,0.55,0.55,0.6325,1,1,0.44507131759275564,0.052184312924169696,0.5500418065360201,0.0,1.0,1.0,1,0.3320567510764915,0.9749303413346787,0.007379899454780119,0.00038899129343478823,1.011549922314929,1.9365290190469187,0.9249790967319897
46,0.56,0.56,0.644,1,0,0.5545294917266943,-0.006640703866600539,1.0,0.21436172616938723,1.0,1.0,1,0.1911192626362854,0.978176007214449,0.005672917522921492,0.000334418295639492,1.238223852527257,1.9428723452338774,0.7046484927066203
47,0.5700000000000001,0.5700000000000001,0.6555,1,0,0.5254686736750942,-0.013324149916768446,1.0,0.2456900469713922,1.0,1.0,1,0.19905552226270284,0.9784517409655193,0.005555870249275502,0.0003299411604721598,1.2398111044525404,1.9491380093942783,0.7093269049417379
48,0.58,0.58,0.6669999999999999,1,0,0.4975961128464286,-0.019590972261292805,1.0,0.2759380808491899,1.0,1.0,1,0.2073696779346646,0.9787235014954299,0.005440821141971336,0.0003255297926719697,1.2414739355869329,1.9551876161698378,0.713713680582905
49,0.59,0.59,0.6784999999999999,1,0,0.4708647796628713,-0.025448964875425695,1.0,0.30516075764638445,1.0,1.0,1,0.21608938058239544,0.9789913106479469,0.005327752361634162,0.00032118381429324975,1.2432178761164792,1.961032151529277,0.7178142754127979
50,0.6,0.6,0.69,1,0,0.4452320965627494,-0.030904085425103256,1.0,0.333409345217006,1.0,1.0,1,0.22524504622914426,0.9792551902173847,0.005216646121351873,0.0003169028477016638,1.2450490092458288,1.9666818690434011,0.7216328597975723
51,0.61,0.61,0.7014999999999999,1,0,0.4206597391229199,-0.03596043974237273,1.0,0.3607317495885908,1.0,1.0,1,0.23487021049028645,0.9795151619483153,0.00510748468696451,0.00031268651559015554,1.2469740420980573,1.972146349917718,0.7251723078196608
52,0.62,0.62,0.713,1,0,0.3971134822216289,-0.04062024200892744,1.0,0.38717278607722105,1.0,1.0,1,0.24500193904597478,0.9797712475352803,0.005000250377353083,0.00030853444099481327,1.2490003878091949,1.9774345572154441,0.7284341694062493
53,0.63,0.63,0.7244999999999999,1,0,0.37456309103989116,-0.044883748544333635,1.0,0.41277442458208546,1.0,1.0,1,0.2556813046769183,0.9800234686225019,0.004894925564727761,0.00030444624731065345,1.2511362609353835,1.982554884916417,0.7314186239810334
54,0.64,0.64,0.736,1,0,0.3529822577752211,-0.048749162307870186,1.0,0.43757601188367273,1.0,1.0,1,0.2669539438061278,0.9802718468035957,0.0047914926749154235,0.0003004215583073131,1.2533907887612254,1.9875152023767346,0.7341244136155092
55,0.65,0.65,0.7474999999999999,1,0,0.3323485861343842,-0.05221250427837698,1.0,0.46161447342213435,1.0,1.0,1,0.27887070844781503,0.9805164036212839,0.004689934187646605,0.00029645999814466425,1.255774141689563,1.9923228946844267,0.7365487529948638
56,0.66,0.66,0.759,1,0,0.31264362704101356,-0.05526744672173112,1.0,0.48492449673215765,1.0,1.0,1,0.29148843320609874,0.9807571605671095,0.004590232636841784,0.00029256119138833855,1.2582976866412197,1.9969848993464314,0.7386872127052118
57,0.67,0.67,0.7705,1,0,0.29385297061431226,-0.057905101920804114,1.0,0.507538698450837,1.0,1.0,1,0.30487084172802176,0.9809941390811492,0.00449237061089705,0.00028872476302516743,1.2609741683456044,2.001507739690167,0.7405335713445627
58,0.6799999999999999,0.6799999999999999,0.7819999999999999,1,0,0.27596640144373263,-0.06011375813515696,1.0,0.529487776589555,1.0,1.0,1,0.31908962311650657,0.9812273605517297,0.0043963307529691345,0.00028495033847853623,1.2638179246233012,2.005897555317911,0.7420796306946096
59,0.69,0.69,0.7934999999999999,1,0,0.25897812662982655,-0.061878552252436325,1.0,0.550800649564832,1.0,1.0,1,0.3342257166813042,0.9814568463151426,0.004302095761259805,0.00028123754362364956,1.2668451433362609,2.010160129912966,0.7433149865767052
60,0.7,0.7,0.8049999999999999,1,0,0.2428870891563657,-0.06318106562060288,1.0,0.5715045833122441,1.0,1.0,1,0.35037085364013415,0.981682617655361,0.004209648389299616,0.00027758600480271055,1.2700741707280268,2.0143009166624486,0.7442267459344218
61,0.71,0.71,0.8164999999999999,1,0,0.22769738313952748,-0.06399882567595783,1.0,0.5916253076583207,1.0,1.0,1,0.3676294177924683,0.9819046958037562,0.004118971446231023,0.00027399534884001066,1.2735258835584937,2.018325061531664,0.7447991779731704
62,0.72,0.72,0.828,1,0,0.2134187926935398,-0.06430469088161472,1.0,0.6111871229947837,1.0,1.0,1,0.38612070490913286,0.9821231019388152,0.004030047797090857,0.0002704652030569334,1.2772241409818266,2.0222374245989565,0.7450132836171299
63,0.73,0.73,0.8394999999999999,1,0,0.20006748301738142,-0.0640660897075882,1.0,0.6302129981850426,1.0,1.0,1,0.40598168420848413,0.9823378571858595,0.003942860363092134,0.00026699519528686514,1.2811963368416968,2.0260425996370084,0.7448462627953116
64,0.74,0.74,0.851,1,0,0.1876668814951976,-0.06324407526742992,1.0,0.6487246605323214,1.0,1.0,1,0.4273703970963163,0.9825489826167624,0.0038573921219052488,0.0002635849538900206,1.2854740794192632,2.029744932106464,0.7442708526872008
65,0.75,0.75,0.8624999999999999,1,0,0.17624879905061785,-0.06179214484199691,1.0,0.6667426785503394,1.0,1.0,1,0.45047017160335046,0.9827564992496705,0.0037736261079384936,0.00026023410776817506,1.29009403432067,2.0333485357100676,0.7432545013893976
66,0.76,0.76,0.8739999999999999,1,0,0.16585485906685138,-0.059654756504961215,1.0,0.6842865381994623,1.0,1.0,1,0.4754948904320977,0.9829604280487221,0.003691545412617947,0.0002569422863793093,1.2950989780864195,2.0368573076398926,0.7417583295534731
67,0.77,0.77,0.8855,1,0,0.15653832489671404,-0.05676545140159028,1.0,0.7013747131823741,1.0,1.0,1,0.5026956332768082,0.9831607899237688,0.0036111331846666846,0.00025370911975216166,1.3005391266553616,2.040274942636475,0.7397358159811132
68,0.78,0.78,0.8969999999999999,1,0,0.14836645036338902,-0.05304445689918902,1.0,0.7180247298323909,1.0,1.0,1,0.5323691306852296,0.9833576057300969,0.0035323726303833672,0.00025053423850068997,1.3064738261370457,2.043604945966478,0.7371311198294321
69,0.79,0.79,0.9085,1,0,0.14142352530058155,-0.04839559821831396,1.0,0.7342532270735462,1.0,1.0,1,0.5648686333094477,0.9835508962681496,0.00345524701392014,0.00024741727383844226,1.3129737266618893,2.0468506454147093,0.73387691875282
70,0.8,0.8,0.9199999999999999,1,0,0.13581485723974462,-0.042702277129060606,1.0,0.7500760118836728,1.0,1.0,1,0.6006180419319608,0.9837406822832488,0.0033797396575598986,0.0002443578575928352,1.320123608386392,2.050015202376734,0.7298915939903421
