m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S4,I4,D_vals,Uphi,Un,Ud
0.64,1,0,0.27663653782382736,-0.12445244871292749,1.0,0.43847541884854346,1.0,1.0,1.0,0.0028918483532976097,0.980689874687316,0.0034491453552663205,0.0003226340449740439,1.2005783696706593,1.9876950837697087,0.7871167140990494
0.65,1,0,0.25263293993728064,-0.13128571692914415,1.0,0.46251388038700497,1.0,1.0,1.0,0.00301387113500033,0.9809245923101217,0.003371031721496362,0.0003185214767906376,1.2006027742269998,1.9925027760774008,0.791900001850401
0.66,1,0,0.2293597670850387,-0.1379088731313698,1.0,0.4858239036970284,1.0,1.0,1.0,0.003142847737233665,0.9811557220785064,0.0032943580628014744,0.0003144728347777256,1.2006285695474468,1.9971647807394055,0.7965362111919587
0.67,1,0,0.20678458325122007,-0.1443310557375601,1.0,0.5084381054157077,1.0,1.0,1.0,0.0032794103342466984,0.9813832823781841,0.003219110688984236,0.00031048776957507394,1.2006558820668494,2.0016876210831414,0.801031739016292
0.6799999999999999,1,0,0.18487689362330917,-0.15056083240924423,1.0,0.5303871835544257,1.0,1.0,1.0,0.0034242701220712785,0.9816072915541008,0.003145275954118289,0.0003065659323313097,1.2006848540244142,2.006077436710885,0.805392582686471
0.69,1,0,0.16360800920285912,-0.15660623613306757,1.0,0.5517000565297028,1.0,1.0,1.0,0.003578230063967088,0.9818277679101978,0.0030728402567842946,0.00030270697471491823,1.2007156460127932,2.0103400113059404,0.8096243652931472
0.7,1,0,0.14295092406144594,-0.16247479716918645,1.0,0.5724039902771147,1.0,1.0,1.0,0.0037422001849622038,0.9820447297091774,0.0030017900403053305,0.0002989105489251855,1.2007484400369923,2.014480798055423,0.8137323580184306
0.71,1,0,0.12288020424274482,-0.1681735710264043,1.0,0.5925247146231912,1.0,1.0,1.0,0.003917216030776963,0.9822581951722664,0.002932111792981731,0.00029517630770307436,1.2007834432061553,2.018504942924638,0.8177214997184827
0.72,1,0,0.10337188749241255,-0.17370916253640578,1.0,0.6120865299596545,1.0,1.0,1.0,0.0041044610822344825,0.982468182478983,0.0028637920483253467,0.0002915039043420467,1.200820892216447,2.022417305991931,0.8215964137754839
0.73,1,0,0.08440339317884393,-0.1790877459997895,1.0,0.6311124051499133,1.0,1.0,1.0,0.004305294150650476,0.9826747097669031,0.002796817385293254,0.00028789299269881794,1.20086105883013,2.0262224810299827,0.8253614221998526
0.74,1,0,0.06595344195858877,-0.18431508125770257,1.0,0.649624067497192,1.0,1.0,1.0,0.004521283095232687,0.9828777951314261,0.0027311744285208827,0.00028434322720405657,1.2009042566190464,2.0299248134994383,0.8290205568803919
0.75,1,0,0.0480019849512654,-0.18939652539501317,1.0,0.6676420855152101,1.0,1.0,1.0,0.004754246632663958,0.9830774566255436,0.0026668498485545823,0.0002808542628730172,1.2009508493265328,2.033528417103042,0.832577567776509
0.76,1,0,0.03053014243540164,-0.19433703959007476,1.0,0.685185945164333,1.0,1.0,1.0,0.005006306599071346,0.9832737122596069,0.002603830362083611,0.00027742575531611866,1.2010012613198142,2.0370371890328665,0.8360359277130522
0.77,1,0,0.01352015238005877,-0.19914119037190936,1.0,0.7022741201472448,1.0,1.0,1.0,0.005279953845561833,0.9834665800010955,0.00254210273217155,0.0002740573607494547,1.2010559907691123,2.0404548240294487,0.8393988332603364
0.78,0,0,-0.003996544928992929,-0.1605959544276616,1.0,0.7807608267018639,1.0,1.0,0.719920648262045,0.0,0.9832870516504921,0.002630445229557856,0.00027736150610312957,1.2027975814502951,2.012417168099363,0.8096195866490679
0.79,0,0,-0.0168657232093401,-0.16631530828766206,1.0,0.7907705808903494,1.0,1.0,0.7361219462051959,0.0,0.9835162915480608,0.0025521032770956307,0.00027333072306638917,1.2118060062465381,2.016420715801363,0.8046147095548251
0.8,0,0,-0.029734876901189145,-0.17203463755916437,1.0,0.8007803350788347,1.0,1.0,0.7519181042299177,0.0,0.9837387186583942,0.0024766917791882764,0.0002694227561796711,1.2208144138308323,2.020424246291415,0.7996098324605827
